param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
3,0.002875891811610259,0.005919048868243282,0.0035987059524186086,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
4,0.003044028675800435,-0.006917783377165956,-0.0006762524142343233,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
0,4.0733607556750115,5.308108891180013,5.395730211008973,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
1,0.04890212950489328,-0.012652941825486262,-0.029238587806391114,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
2,0.019424605184191424,-0.009265077405870273,-0.012037192917383293,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
3,0.016694330208549713,0.00041444117936375024,-0.0034165741235054267,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
4,-0.004149081000325303,0.0014645982985947966,-0.004288044153798119,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
0,4.160474621492957,5.3137375088574546,5.47931217302458,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
1,0.12071193260633743,-0.02937544828518573,0.00971081280389368,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
2,-0.0016675896626207611,-0.02611006389924739,-0.0025004672342265975,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
3,-0.0065334441702843615,-0.011709398672450353,0.005171933487399002,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
4,-0.003279467401759003,-0.0085491693494391,0.003822485611376279,0.0004631833153527476,josef-fruehwald_speaker,0-0-123-5,group_0,ey,5466.666666666667,1,4,explained,1,0.10000000000000142,have,the,L,N,L,N,internal
