param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,285.319556940175,1501.823414581172,2519.22794744113,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
1,19.84009740326418,-72.47074568178044,-44.58573396132455,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
2,4.367741450033978,-29.733821837432185,-9.41953939155735,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
3,5.559081879625854,-9.74950955808859,-22.254396696611504,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
4,5.0703755485500555,-11.449830418774988,2.8108494450482167,0.00278544383991382,josef-fruehwald_speaker,0-0-17-1,group_0,ey,8779.48717948718,1,4,rainbow,1,0.08999999999999986,formza,"",R,N,R,N,internal
0,260.80062980992574,1331.6005243957331,1505.9705239125587,0.0002539978278391021,josef-fruehwald_speaker,0-0-20-1,group_0,ey,4943.589743589744,1,4,rainbow,1,0.08000000000000007,the,is,R,N,R,N,internal
1,24.962394265486683,-73.99244999857893,-56.12880785144183,0.0002539978278391021,josef-fruehwald_speaker,0-0-20-1,group_0,ey,4943.589743589744,1,4,rainbow,1,0.08000000000000007,the,is,R,N,R,N,internal
2,-3.004903373947863,8.057683263192676,-21.218244932438154,0.0002539978278391021,josef-fruehwald_speaker,0-0-20-1,group_0,ey,4943.589743589744,1,4,rainbow,1,0.08000000000000007,the,is,R,N,R,N,internal
3,5.9177319285128185,-15.475287657527236,10.80569089992775,0.0002539978278391021,josef-fruehwald_speaker,0-0-20-1,group_0,ey,4943.589743589744,1,4,rainbow,1,0.08000000000000007,the,is,R,N,R,N,internal
4,-1.8356389203658507,-8.160315215481962,-13.205411775436467,0.0002539978278391021,josef-fruehwald_speaker,0-0-20-1,group_0,ey,4943.589743589744,1,4,rainbow,1,0.08000000000000007,the,is,R,N,R,N,internal
